Titulo,Autor,Precio
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
ÁMALE 3 NIVEL -ALUMNO- MI ADOLESCENCIA EN TRES SENCILLOS PASOS,"GODINA, ANTONIO",$100.00
DICCIONARIO DE LOGISTICA INTERNACIONAL,"SILVA, ERNESTO",$230.00$207.00
CARGA AEREA,"SILVA ,ERNESTO",$230.00$207.00
CARGA MARITIMA,"SILVA, ERNESTO",$230.00$207.00
TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES 2ED.,"ARMAYONES, MANUEL",$391.00$336.26
METODOLOGIA DE LA INVESTIGACION (BACH/DGB-COMPET.C/CUADERNI,OLGUIN            /            VILLANUEVA,$230.00$207.00
FISICA I (BACH/DGETI-COMPET.C/CUADERNILLO),DE LA CALLEJA,$230.00$207.00
INGLÉS 1 -BACH.DGB/DGETI-,RAMÍREZ            /            SUÁREZ,$230.00$207.00
CONTABILIDAD I (BACH/DGB-COMPET.C/CUADERNILLO),"GARCIA, MONICA",$230.00$207.00
HISTORIA DE MEXICO II                CB,HINOJOSA            /            HIDALGA,$145.00$124.70
GEOGRAFÍA                            NR,"SAMPIERI, LUCIO",$160.00$137.60
HISTORIA DE MÉXICO I  2ED.           CB,BENÍTEZ,$145.00$124.70
HISTORIA DE MEXICO I  2ED.           CE,"BENITEZ JUAREZ, MIRNA",$145.00$124.70
HISTORIA DE NUESTRO TIEMPO           CE,BENITEZ            /            YERENA,$160.00$137.60
INDIVIDUO Y SOCIEDAD                 CE,"GUEVARA, CESAR",$145.00$124.70
HISTORIA DE MEXICO 1  2ED.           IE,BENITEZ            /            MANCILLA            /            HDEZ,$160.00$137.60
ÉTICA Y VALORES 1  2ED.              IE,NAVARRO            /            BONILLA,$170.00$146.20
HISTORIA DE MEXICO 2                 SC -COMPETENCIAS-,BENITEZ            /            RODRIGUEZ,$195.00$167.70
ÉTICA Y VALORES 1 2ED.-COMPETENCIAS- SC (C/CUADERNO),NAVARRO            /            BONILLA,$205.00$176.30
LÓGICA                               AE,SALAS            /            AUDE            /            SÁNCHEZ,$205.00$176.30
